year,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1977,0.8203957382039574,0.011567732115677326,0.011263318112633184,0.0106544901065449,0.012176560121765604,0.011567732115677323,0.01004566210045662,0.012176560121765604,0.010350076103500762,0.023439878234398782,0.012785388127853884,0.010958904109589041,0.018264840182648404,0.010958904109589041,0.013394216133942165
1978,0.777170613236187,0.01517911353976928,0.010018214936247723,0.02185792349726776,0.014571948998178508,0.009107468123861564,0.01517911353976928,0.027929568913175464,0.010625379477838492,0.01851851851851852,0.012143290831815425,0.017607771706132362,0.02550091074681238,0.013357619914996966,0.011232544019429264
1979,0.7824074074074071,0.008856682769726247,0.008856682769726247,0.00684380032206119,0.009661835748792267,0.006239935587761671,0.010668276972624796,0.013285024154589369,0.009057971014492752,0.015499194847020926,0.011070853462157807,0.08313204508856678,0.014895330112721409,0.009259259259259257,0.010265700483091784
1980,0.30934561504509694,0.011706006524659378,0.007676069852235658,0.0067165611207062,0.01074649779312992,0.005948954135482633,0.007484168105929764,0.006140855881788524,0.009786989061600462,0.010938399539435812,0.005948954135482633,0.5874112454423336,0.0067165611207062,0.006524659374400308,0.00690846286701209
1981,0.04812597028165891,0.015302727877578179,0.007762253271235307,0.0073186959414504316,0.012641383898868932,0.008649367930805056,0.008205810601020182,0.015746285207363053,0.022621423819028607,0.03659347970725216,0.011310711909514307,0.7706808605012198,0.010645375914836995,0.0073186959414504316,0.017076957196717677
1982,0.08309345615045095,0.008059873344847437,0.007867971598541546,0.008059873344847437,0.011322203032047591,0.011514104778353483,0.008827480330071004,0.018998272884283244,0.016119746689694875,0.16215697562847822,0.008827480330071004,0.6269430051813472,0.00959508731529457,0.010746497793129917,0.007867971598541548
1983,0.022747156605424323,0.03774528183977003,0.014748156480439945,0.005124359455068119,0.020372453443319588,0.004499437570303714,0.0056242969628796415,0.009998750156230474,0.005749281339832523,0.7955255593050868,0.006249218847644047,0.05774278215223097,0.00412448443944507,0.004999375078115238,0.0047494063242094755
1984,0.021751177611526736,0.06511499030202271,0.009559434746467166,0.0054031587697423115,0.03823773898586866,0.005126073704627322,0.009005264616237187,0.005264616237184817,0.007896924355777225,0.7891382654474923,0.005541701302299808,0.008451094486007204,0.012468827930174564,0.005818786367414798,0.011221945137157107
1985,0.10253317249698432,0.076263235491221,0.006567484251440827,0.009114059777509719,0.01058839297681276,0.005495241924674977,0.0065674842514408275,0.009784211231738374,0.076263235491221,0.5815574319796274,0.007505696287360945,0.014073180538801768,0.07894384130813564,0.0065674842514408275,0.008175847741589602
1986,0.012559505722678008,0.8326749721462574,0.013673655423883314,0.006684898207231845,0.030487187278436134,0.0054694621695533276,0.006583611870758636,0.006887470880178264,0.007292616226071104,0.04689557378709611,0.004051453458928391,0.007191329889597893,0.007697761571963942,0.006077180188392587,0.005773321178972957
1987,0.018936229462545254,0.7116402116402116,0.009050403787245894,0.04845446950710108,0.024923419660261764,0.012252854358117515,0.032163742690058485,0.015873015873015872,0.018518518518518517,0.014898357003620159,0.008214981899192429,0.05903648008911166,0.012949039264828736,0.007797270955165693,0.005291005291005292
1988,0.006279636037421507,0.6212995001922338,0.007048571062411895,0.12290144816096374,0.017044726387286938,0.004869921824939128,0.006920415224913497,0.011405869537357427,0.0661284121491734,0.016019479687299755,0.008201973599897478,0.028706907599641167,0.06651287966166858,0.005638856849929516,0.011021402024862233
1989,0.007674684994272626,0.25395189003436425,0.006643757159221079,0.5057273768613976,0.0150057273768614,0.004467353951890037,0.017182130584192445,0.0060710194730813315,0.125085910652921,0.017411225658648343,0.007331042382588777,0.006529209621993129,0.010080183276059565,0.009621993127147767,0.007216494845360827
1990,0.003834808259587021,0.08053097345132744,0.005408062930186825,0.6638151425762044,0.026647000983284173,0.005408062930186825,0.022123893805309738,0.005309734513274338,0.1455260570304818,0.007669616519174041,0.004424778761061948,0.005506391347099313,0.00816125860373648,0.0037364798426745335,0.01189773844641101
1991,0.006663769375633782,0.05953933072577138,0.0072432275822106335,0.11531218310879326,0.012313486889758073,0.0062291757207011455,0.011444299579892799,0.010719976821671733,0.6924525568593364,0.03114587860350572,0.005504852962480081,0.014196726061132836,0.015935100680863387,0.004635665652614804,0.006663769375633782
1992,0.007118927973199332,0.052624232272473474,0.005583472920156338,0.018844221105527637,0.021496370742601897,0.009910664433277499,0.016331658291457284,0.008096035734226691,0.7703796761585706,0.016471245114461193,0.008375209380234509,0.026800670016750423,0.024846454494695698,0.005583472920156338,0.007537688442211056
1993,0.009094503756425468,0.005667589297482538,0.008962699354158433,0.006326611308817717,0.020956899960458682,0.005140371688414394,0.02662448925794122,0.009621721365493609,0.8600237247924082,0.008699090549624361,0.0061948069065506815,0.009226308158692503,0.008830894951891396,0.006590220113351789,0.008040068538289183
1994,0.007755047466238804,0.04973926995587645,0.014306725498061236,0.010830324909747292,0.010161786335071534,0.005883139457146679,0.1986896643936355,0.005883139457146679,0.6454071399919775,0.006551678031822438,0.004679770022730311,0.014975264072736996,0.006819093461692741,0.012167402059098808,0.006150554887016982
1995,0.005385487528344671,0.08956916099773242,0.007086167800453516,0.028628117913832195,0.027919501133786846,0.006094104308390024,0.6853741496598638,0.008078231292517009,0.08914399092970521,0.008219954648526078,0.006235827664399094,0.0056689342403628135,0.020408163265306117,0.005952380952380953,0.006235827664399093
1996,0.010935601458080193,0.005535304441744296,0.0059403267179694895,0.00648035641960308,0.010530579181855002,0.010260564331038207,0.6308896989334414,0.007965438099095452,0.26515458350209253,0.005265289590927502,0.004320237613068718,0.011880653435938976,0.006075334143377888,0.004995274740110707,0.01377075739165654
1997,0.009418353060964745,0.01069110347460863,0.004963726613211151,0.005345551737304316,0.017945780832378768,0.004709176530482374,0.6727758686521573,0.015145729922362225,0.21178566883034236,0.006109201985490647,0.006236477026855035,0.004581901489117986,0.006109201985490646,0.014127529591447117,0.010054728267786688
